date,closed_c,O3_ppb
2014-07-21 17:00:00,40.2532778347,43.332
2014-07-21 18:00:00,37.7044536868,40.173
2014-07-21 19:00:00,35.4902878405,42.889
2014-07-21 20:00:00,30.9955081753,6.9174
2014-07-21 21:00:00,24.4179865368,13.247
2014-07-21 22:00:00,20.7019274744,17.972
2014-07-22 00:00:00,20.7153409185,11.304
2014-07-22 01:00:00,14.3763910934,10.885
2014-07-22 02:00:00,11.9053161156,22.976
2014-07-22 03:00:00,13.7053244071,21.357
2014-07-22 04:00:00,19.3064335668,27.249
2014-07-22 05:00:00,14.5087231631,10.574
2014-07-22 06:00:00,17.7249188976,17.158
2014-07-22 07:00:00,31.2284200762,30.127
2014-07-22 09:00:00,34.6435068468,28.625
2014-07-22 10:00:00,39.0502932399,38.084
2014-07-22 11:00:00,42.204366237,43.483
2014-07-22 14:00:00,46.5760898902,45.881
2014-07-22 15:00:00,46.265130827,41.79
2014-07-22 19:00:00,39.0046694438,53.559
2014-07-22 20:00:00,36.2825714185,43.476
2014-07-22 21:00:00,25.4062077436,19.564
2014-07-22 22:00:00,24.2452319663,25.286
2014-07-22 23:00:00,20.5165526538,10.929
2014-07-23 00:00:00,23.2598514043,24.648
2014-07-23 01:00:00,17.789677788,32.361
2014-07-23 02:00:00,14.9946342637,26.698
2014-07-23 03:00:00,17.1391581529,20.222
2014-07-23 04:00:00,14.4412972728,6.892
2014-07-23 05:00:00,15.7600793552,8.4045
2014-07-23 06:00:00,16.0453545848,14.757
2014-07-23 07:00:00,30.1172022991,24.184
2014-07-23 08:00:00,27.660327047,29.5
2014-07-23 09:00:00,27.8317821038,32.597
2014-07-23 11:00:00,38.3843216162,34.779
2014-07-23 12:00:00,49.0234078742,39.596
2014-07-23 13:00:00,50.1916227423,49.567
2014-07-23 14:00:00,41.3553480537,53.376
2014-07-23 15:00:00,41.0248864094,48.186
2014-07-23 16:00:00,41.1146229678,49.22
2014-07-23 17:00:00,35.4654506596,36.566
2014-07-23 18:00:00,33.6526538072,30.58
2014-07-23 19:00:00,35.9309279549,34.545
2014-07-23 20:00:00,30.5283971455,37.979
2014-07-23 21:00:00,33.9301187853,29.17
2014-07-23 22:00:00,31.746572404,25.536
2014-07-23 23:00:00,31.7492752542,30.165
2014-07-24 00:00:00,31.7338397887,9.1023
2014-07-24 01:00:00,32.5315441989,17.629
2014-07-24 03:00:00,21.1954428418,16.836
2014-07-24 04:00:00,18.0943543651,20.441
2014-07-24 05:00:00,18.4959900591,15.789
2014-07-24 06:00:00,24.4512960586,6.6863
2014-07-24 07:00:00,34.8679998201,16.487
2014-07-24 08:00:00,40.061785975,16.666
2014-07-24 09:00:00,44.1047091544,31.167
2014-07-24 10:00:00,42.3368048307,29.128
2014-07-24 11:00:00,45.7588847992,31.456
2014-07-24 12:00:00,46.9592633579,64.47
2014-07-24 13:00:00,42.7614403669,38.332
2014-07-24 14:00:00,43.0160330183,41.502
2014-07-24 15:00:00,45.8432193335,54.876
2014-07-24 16:00:00,44.7589377167,47.808
2014-07-24 17:00:00,40.4868123684,54.672
2014-07-24 19:00:00,37.6786081748,31.465
2014-07-24 20:00:00,36.4832235235,37.12
2014-07-24 21:00:00,35.1802705986,40.291
2014-07-24 22:00:00,35.2433988377,38.285
2014-07-24 23:00:00,32.8318311589,25.408
2014-07-25 01:00:00,30.5649744464,26.104
2014-07-25 02:00:00,31.8200661475,31.483
2014-07-25 03:00:00,33.9589469453,18.95
2014-07-25 04:00:00,27.5259484135,10.221
2014-07-25 05:00:00,26.7805413633,13.246
2014-07-25 06:00:00,35.2372598056,9.3257
2014-07-25 07:00:00,36.2029814502,27.534
2014-07-25 08:00:00,39.2826754524,16.573
2014-07-25 09:00:00,45.3778853294,25.453
