date,c_open,c_close,flux
2014-7-18 17:20:25.278,54.3,42.4,-0.17
2014-7-18 18:24:4.878,58.4,37.2,-0.3
2014-7-18 21:34:51.978,50.3,30.1,-0.28
2014-7-18 22:38:39.678,28.3,5.2,-0.32
2014-7-19 2:54:6.678,29.5,16.9,-0.17
2014-7-19 3:58:10.578,17.5,11.7,-0.08
2014-7-19 5:2:9.978,19.9,11.1,-0.12
2014-7-19 6:6:9.378,24.1,13.6,-0.15
2014-7-19 7:10:8.778,25.9,16.2,-0.13
2014-7-19 8:13:58.278,30.7,22.7,-0.11
2014-7-19 12:30:7.578,63.9,46,-0.25
2014-7-19 13:34:22.278,71.6,40.8,-0.43
2014-7-19 14:38:37.878,77,53.4,-0.33
2014-7-19 15:42:54.378,81.1,47.4,-0.47
2014-7-19 16:47:9.978,86.6,54,-0.45
2014-7-19 18:55:32.178,64.3,42.9,-0.3
2014-7-19 19:59:38.778,55.2,36.2,-0.27
2014-7-19 21:3:46.278,44.9,31.5,-0.19
2014-7-19 22:7:57.378,37.8,26.1,-0.16
2014-7-19 23:12:7.578,34.4,28,-0.09
2014-7-20 0:16:16.878,33.6,25.9,-0.11
2014-7-20 1:20:17.178,45.8,32.9,-0.18
2014-7-20 2:24:16.578,43.9,26.9,-0.24
2014-7-20 10:56:7.278,50.6,30.4,-0.28
2014-7-20 13:4:35.778,62.9,42.2,-0.29
2014-7-20 14:8:50.478,63.1,45.3,-0.25
2014-7-20 15:13:8.778,68.2,39.8,-0.4
2014-7-20 16:17:20.778,66.1,51.5,-0.2
2014-7-20 17:21:29.178,63.7,53.2,-0.15
2014-7-20 21:38:7.278,42.1,27.4,-0.2
2014-7-20 22:42:17.478,41.6,35.8,-0.08
2014-7-20 23:46:26.778,36.7,23.2,-0.19
2014-7-21 0:50:25.278,32.5,17.5,-0.21
2014-7-21 1:54:23.778,31.9,21.8,-0.14
2014-7-21 2:58:17.778,29,23.4,-0.08
2014-7-21 4:2:7.278,26.2,11.4,-0.21
2014-7-21 5:5:58.578,32.4,21.2,-0.16
