,o3_ppb,UnixTime,e2v03,no2,Temp,Rh,days from start,ref_o3_smooth
2014-07-28 02:16:00,16.0,1406513790.62,314.923076923,519.461538462,20.8,55.4923076923,2.0,
2014-07-28 02:17:00,19.0,1406513850.58,315.0,520.0,20.9416666667,55.1583333333,2.0,
2014-07-28 02:18:00,18.0,1406513910.54,315.0,520.0,21.0769230769,54.8307692308,2.0,
2014-07-28 02:19:00,19.0,1406513970.42,315.333333333,520.25,21.1833333333,54.4666666667,2.0,
2014-07-28 03:15:00,20.0,1406517329.62,307.0,516.615384615,19.7,55.7076923077,2.0,
2014-07-28 03:16:00,21.0,1406517393.0,307.0,516.0,19.6909090909,55.8363636364,2.0,
2014-07-28 03:17:00,22.0,1406517450.42,307.0,516.833333333,19.7,55.9,2.0,
2014-07-28 03:18:00,21.0,1406517510.38,307.0,518.769230769,19.7615384615,55.8307692308,2.0,
2014-07-28 03:19:00,21.0,1406517570.42,307.5,519.583333333,19.9083333333,55.6833333333,2.0,
2014-07-28 03:20:00,20.0,1406517630.31,307.846153846,520.076923077,20.0538461538,55.4769230769,2.0,
2014-07-28 03:21:00,17.0,1406517690.25,307.916666667,519.25,20.1916666667,55.3416666667,2.0,
2014-07-28 03:22:00,16.0,1406517750.15,308.0,519.0,20.2692307692,55.2615384615,2.0,
2014-07-28 03:23:00,14.0,1406517810.17,308.416666667,519.0,20.3583333333,55.1583333333,2.0,
2014-07-28 04:19:00,15.0,1406521169.92,308.0,516.0,19.4,59.975,2.0,
2014-07-28 04:20:00,16.0,1406521229.85,308.076923077,516.461538462,19.4846153846,60.0615384615,2.0,
2014-07-28 04:21:00,15.0,1406521289.75,308.416666667,518.5,19.6333333333,59.6666666667,2.0,
2014-07-28 04:22:00,17.0,1406521349.77,309.0,519.461538462,19.8076923077,59.2307692308,2.0,
2014-07-28 04:23:00,17.0,1406521409.58,309.0,520.166666667,19.95,58.8666666667,2.0,
2014-07-28 04:24:00,17.0,1406521469.62,309.923076923,522.384615385,20.0538461538,58.4384615385,2.0,
2014-07-28 04:25:00,14.0,1406521529.42,310.0,522.583333333,20.1583333333,58.0583333333,2.0,
2014-07-28 04:26:00,14.0,1406521589.31,309.923076923,521.846153846,20.2538461538,57.7538461538,2.0,
2014-07-28 04:27:00,13.0,1406521649.25,310.0,521.333333333,20.3,57.5,2.0,
2014-07-28 05:22:00,20.0,1406524950.58,316.916666667,539.0,20.525,62.25,2.0,
2014-07-28 05:23:00,20.0,1406525010.62,316.923076923,539.0,20.6769230769,61.8692307692,2.0,
2014-07-28 05:24:00,18.0,1406525070.58,317.416666667,539.5,20.825,61.2416666667,2.0,
2014-07-28 05:25:00,19.0,1406525130.54,318.0,540.0,21.0307692308,60.6153846154,2.0,
2014-07-28 05:26:00,20.0,1406525190.5,318.0,540.166666667,21.1583333333,60.0666666667,2.0,
2014-07-28 05:27:00,17.0,1406525250.38,318.076923077,540.923076923,21.3,59.6538461538,2.0,
2014-07-28 05:28:00,18.0,1406525310.25,319.0,541.5,21.3916666667,59.3166666667,2.0,
2014-07-28 05:29:00,18.0,1406525370.08,319.0,542.692307692,21.4923076923,59.0923076923,2.0,
2014-07-28 05:30:00,17.0,1406525429.92,318.916666667,542.583333333,21.5333333333,58.8916666667,2.0,
2014-07-28 06:26:00,23.0,1406528789.25,325.833333333,553.416666667,21.95,61.1333333333,2.0,
2014-07-28 06:27:00,24.0,1406528849.15,325.923076923,554.769230769,22.1615384615,60.5769230769,2.0,
2014-07-28 06:28:00,26.0,1406528909.0,326.083333333,555.0,22.3416666667,60.0333333333,2.0,
2014-07-28 06:29:00,26.0,1406528969.0,326.923076923,555.769230769,22.4692307692,59.5923076923,2.0,
2014-07-28 06:30:00,23.0,1406529028.92,327.0,556.5,22.6083333333,59.2583333333,2.0,
2014-07-28 06:31:00,25.0,1406529088.85,327.0,558.0,22.6923076923,59.0,2.0,
2014-07-28 06:32:00,25.0,1406529148.58,327.5,557.916666667,22.7833333333,58.7083333333,2.0,
2014-07-28 06:33:00,24.0,1406529208.54,328.0,557.846153846,22.8230769231,58.4846153846,2.0,
2014-07-28 06:34:00,27.0,1406529268.42,327.916666667,559.5,22.9083333333,58.375,2.0,
2014-07-28 07:30:00,31.0,1406532628.58,348.333333333,584.0,25.1,56.95,2.0,
2014-07-28 07:31:00,30.0,1406532688.54,350.461538462,587.692307692,25.3769230769,56.4615384615,2.0,
2014-07-28 07:32:00,33.0,1406532748.42,351.75,588.833333333,25.65,54.8333333333,2.0,
2014-07-28 07:33:00,33.0,1406532808.31,352.538461538,590.769230769,25.8769230769,54.1923076923,2.0,
2014-07-28 07:34:00,34.0,1406532870.62,353.846153846,592.846153846,26.1153846154,53.8461538462,2.0,
2014-07-28 07:35:00,34.0,1406532930.58,354.75,593.833333333,26.3166666667,53.1083333333,2.0,
2014-07-28 07:36:00,33.0,1406532990.38,356.307692308,595.923076923,26.5615384615,52.6153846154,2.0,
2014-07-28 07:37:00,32.0,1406533050.33,357.833333333,597.833333333,26.7333333333,51.825,2.0,
2014-07-28 07:38:00,35.0,1406533110.15,358.153846154,598.461538462,26.9076923077,50.7769230769,2.0,
2014-07-28 08:34:00,41.0,1406536469.42,416.583333333,680.25,34.8083333333,31.65,2.0,
2014-07-28 08:35:00,44.0,1406536529.38,417.230769231,681.923076923,34.9692307692,31.4230769231,2.0,
2014-07-28 08:36:00,43.0,1406536589.42,417.916666667,682.583333333,35.125,31.3333333333,2.0,
2014-07-28 08:37:00,41.0,1406536649.15,418.538461538,683.076923077,35.2461538462,30.9307692308,2.0,
2014-07-28 08:38:00,41.0,1406536709.25,418.916666667,683.5,35.3,30.4666666667,2.0,
2014-07-28 08:39:00,43.0,1406536769.08,419.0,683.076923077,35.3846153846,30.2384615385,2.0,
2014-07-28 08:40:00,42.0,1406536829.0,419.333333333,683.416666667,35.4166666667,30.1916666667,2.0,
2014-07-28 08:41:00,43.0,1406536888.92,419.923076923,684.153846154,35.4769230769,30.2692307692,2.0,
2014-07-28 08:42:00,45.0,1406536948.75,421.333333333,686.166666667,35.5583333333,30.4,2.0,
2014-07-28 09:38:00,49.0,1406540308.62,458.769230769,727.923076923,38.6692307692,27.3769230769,2.0,
2014-07-28 09:39:00,50.0,1406540368.5,460.083333333,729.833333333,38.8333333333,27.3333333333,2.0,
2014-07-28 09:40:00,50.0,1406540428.38,461.615384615,731.923076923,38.9769230769,27.3692307692,2.0,
2014-07-28 09:41:00,52.0,1406540488.33,462.916666667,733.666666667,39.1416666667,26.95,2.0,
