date,UnixTime,e2v03,no2,Temp,Rh
2014-07-17 17:55:52,1405619752,608,874,36.2,23.3
2014-07-17 17:55:57,1405619757,608,874,36.1,23.3
2014-07-17 17:56:02,1405619762,608,873,36.2,23.3
2014-07-17 17:56:06,1405619766,608,873,36.2,23.2
2014-07-17 17:56:11,1405619771,608,873,36.2,23.2
2014-07-17 17:56:16,1405619776,608,872,36.1,23.3
2014-07-17 17:56:21,1405619781,608,872,36.2,23.3
2014-07-17 17:56:26,1405619786,609,872,36.2,23.3
2014-07-17 17:56:31,1405619791,609,871,36.2,23.3
2014-07-17 17:56:35,1405619795,609,871,36.2,23.4
2014-07-17 17:56:40,1405619800,608,871,36.2,23.4
2014-07-17 17:56:45,1405619805,609,870,36.2,23.3
2014-07-17 17:56:50,1405619810,609,870,36.2,23.3
2014-07-17 17:56:55,1405619815,608,869,36.3,23.3
2014-07-17 17:57:00,1405619820,609,868,36.2,23.2
2014-07-17 17:57:04,1405619824,609,869,36.3,23.2
2014-07-17 17:57:09,1405619829,609,868,36.3,23.2
2014-07-17 17:57:14,1405619834,610,867,36.2,23.2
2014-07-17 17:57:19,1405619839,610,869,36.3,23.3
2014-07-17 17:57:24,1405619844,610,867,36.2,23.3
2014-07-17 17:57:28,1405619848,610,867,36.2,23.3
2014-07-17 17:57:33,1405619853,610,867,36.3,23.3
2014-07-17 17:57:38,1405619858,610,867,36.3,23.4
2014-07-17 17:57:43,1405619863,611,866,36.3,23.4
2014-07-17 17:57:48,1405619868,610,866,36.3,23.4
2014-07-17 17:57:53,1405619873,610,865,36.3,23.4
2014-07-17 17:57:57,1405619877,611,864,36.4,23.3
2014-07-17 17:58:02,1405619882,611,865,36.3,23.4
2014-07-17 17:58:07,1405619887,611,865,36.3,23.4
2014-07-17 17:58:12,1405619892,611,864,36.3,23.4
2014-07-17 17:58:17,1405619897,611,864,36.3,23.4
2014-07-17 17:58:21,1405619901,611,864,36.3,23.4
2014-07-17 17:58:26,1405619906,611,863,36.3,23.4
2014-07-17 17:58:31,1405619911,611,863,36.4,23.4
2014-07-17 17:58:36,1405619916,611,863,36.4,23.3
2014-07-17 17:58:41,1405619921,611,862,36.4,23.3
2014-07-17 17:58:46,1405619926,611,862,36.4,23.3
2014-07-17 17:58:50,1405619930,611,862,36.4,23.3
2014-07-17 17:58:55,1405619935,611,861,36.4,23.2
2014-07-17 17:59:00,1405619940,611,861,36.4,23.2
2014-07-17 17:59:05,1405619945,611,861,36.4,23.3
2014-07-17 17:59:10,1405619950,612,861,36.4,23.3
2014-07-17 17:59:15,1405619955,612,860,36.4,23.3
2014-07-17 17:59:19,1405619959,612,860,36.4,23.4
2014-07-17 17:59:24,1405619964,612,860,36.4,23.4
2014-07-17 17:59:29,1405619969,611,860,36.4,23.4
2014-07-17 17:59:34,1405619974,611,859,36.5,23.3
2014-07-17 17:59:39,1405619979,611,859,36.5,23.3
2014-07-17 17:59:43,1405619983,611,858,36.5,23.2
2014-07-17 17:59:48,1405619988,611,857,36.5,23.1
2014-07-17 17:59:53,1405619993,611,857,36.5,23.0
2014-07-17 17:59:58,1405619998,611,856,36.5,23.0
2014-07-17 18:00:03,1405620003,611,856,36.5,22.9
2014-07-17 18:00:07,1405620007,611,856,36.5,22.9
2014-07-17 18:00:12,1405620012,612,856,36.5,22.8
2014-07-17 18:00:17,1405620017,612,856,36.5,22.8
2014-07-17 18:00:22,1405620022,612,855,36.5,22.8
2014-07-17 18:00:27,1405620027,613,855,36.5,22.8
2014-07-17 18:00:32,1405620032,613,855,36.5,22.9
2014-07-17 18:00:36,1405620036,613,855,36.5,22.9
2014-07-17 18:00:41,1405620041,613,855,36.5,22.9
2014-07-17 18:00:46,1405620046,613,855,36.5,22.9
2014-07-17 18:00:51,1405620051,613,854,36.5,22.9
2014-07-17 18:00:56,1405620056,614,854,36.6,22.9
2014-07-17 18:01:00,1405620060,614,854,36.6,22.9
2014-07-17 18:01:05,1405620065,614,854,36.5,23.0
2014-07-17 18:01:10,1405620070,615,854,36.6,23.0
2014-07-17 18:01:15,1405620075,614,854,36.5,23.0
2014-07-17 18:01:20,1405620080,615,854,36.6,23.1
