,RhIN,TempIN,no2,o3
2014-07-25 14:57:00,15.3,44.2,838.0,541.0
2014-07-25 14:58:00,15.15,44.6,836.0,542.5
2014-07-25 14:59:00,14.7,44.9,833.0,544.0
2014-07-25 15:00:00,14.5,45.25,832.0,547.0
2014-07-25 15:01:00,13.9,45.5,829.0,548.0
2014-07-25 15:02:00,13.4,45.8,828.5,551.0
2014-07-25 15:03:00,13.2,46.0,826.0,553.0
2014-07-25 15:04:00,12.8,46.3,825.0,556.0
2014-07-25 15:59:00,14.4,43.3,764.0,493.5
2014-07-25 16:00:00,14.5,43.1,763.0,492.0
2014-07-25 16:01:00,14.5,42.9,760.0,489.0
2014-07-25 16:02:00,14.7,42.7,759.5,487.0
2014-07-25 16:03:00,15.0,42.5,758.0,486.0
2014-07-25 16:04:00,15.0,42.3,755.0,483.0
2014-07-25 16:05:00,14.9,42.2,750.0,480.0
2014-07-25 16:06:00,14.95,41.95,750.0,478.5
2014-07-25 17:01:00,20.5,38.8,729.0,461.0
2014-07-25 17:02:00,20.1,38.9,728.0,462.0
2014-07-25 17:03:00,19.8,39.0,725.0,462.0
2014-07-25 17:04:00,19.6,39.1,724.0,463.0
2014-07-25 17:05:00,19.3,39.2,723.0,464.0
2014-07-25 17:06:00,19.0,39.3,723.0,464.0
2014-07-25 17:07:00,18.8,39.3,723.0,464.5
2014-07-25 17:08:00,19.4,39.4,727.0,466.0
2014-07-25 18:04:00,22.0,36.9,689.0,434.0
2014-07-25 18:05:00,21.9,36.9,688.0,434.0
2014-07-25 18:06:00,22.0,36.9,688.0,435.0
2014-07-25 18:07:00,21.9,36.9,688.0,435.0
2014-07-25 18:08:00,21.9,36.9,688.0,435.0
2014-07-25 18:09:00,22.1,36.9,688.0,435.0
2014-07-25 18:10:00,21.9,36.9,686.0,434.0
2014-07-25 18:11:00,21.7,36.9,684.0,434.0
2014-07-25 19:06:00,27.3,33.0,644.0,397.0
2014-07-25 19:07:00,27.0,33.0,644.0,397.0
2014-07-25 19:08:00,26.9,33.0,643.5,396.5
2014-07-25 19:09:00,27.0,33.0,644.0,397.0
