,o3_ppb,UnixTime,e2v03,no2,Temp,Rh,days from start,ref_o3_smooth
2014-07-25 20:03:00,37.0,1406318608.23,380.076923077,626.384615385,30.7,30.3692307692,0.0,
2014-07-25 20:04:00,37.0,1406318670.31,378.923076923,624.384615385,30.6923076923,29.9,0.0,
2014-07-25 21:06:00,39.0,1406322389.42,357.916666667,594.916666667,28.3166666667,32.075,0.0,
2014-07-25 21:07:00,36.0,1406322449.08,357.692307692,595.0,28.3846153846,31.8384615385,0.0,
2014-07-25 21:08:00,38.0,1406322508.67,357.083333333,594.25,28.4,31.6083333333,0.0,
2014-07-25 22:10:00,31.0,1406326228.46,343.923076923,573.769230769,26.6846153846,34.9461538462,0.0,
2014-07-25 22:11:00,32.0,1406326290.69,344.0,573.846153846,26.7153846154,34.8307692308,0.0,
2014-07-25 22:12:00,29.0,1406326350.5,344.083333333,574.0,26.7666666667,34.7,0.0,
2014-07-25 23:13:00,30.0,1406330010.23,337.0,560.923076923,25.8,36.5461538462,0.0,
2014-07-25 23:14:00,31.0,1406330070.08,337.0,561.0,25.8333333333,36.5,0.0,
2014-07-25 23:15:00,32.0,1406330129.92,337.076923077,561.0,25.8769230769,36.5,0.0,
2014-07-25 23:25:00,38.0,1406330728.38,337.923076923,563.0,25.9923076923,36.6692307692,0.0,
2014-07-25 23:26:00,37.0,1406330783.43,337.714285714,563.142857143,26.0142857143,36.6857142857,0.0,
2014-07-25 23:27:00,39.0,1406330849.69,338.615384615,567.230769231,26.1923076923,36.4461538462,0.0,
2014-07-26 00:17:00,29.0,1406333849.85,330.0,553.0,25.1076923077,36.9307692308,0.0,
2014-07-26 00:18:00,30.0,1406333909.67,329.916666667,552.916666667,25.1583333333,36.7416666667,0.0,
2014-07-26 00:19:00,31.0,1406333969.62,330.0,553.0,25.1692307692,36.6230769231,0.0,
2014-07-26 01:21:00,35.0,1406337690.08,323.0,540.076923077,24.8,33.5769230769,0.0,
2014-07-26 01:22:00,35.0,1406337750.08,322.916666667,541.083333333,24.8166666667,33.4583333333,0.0,
2014-07-26 01:23:00,35.0,1406337810.0,323.153846154,541.384615385,24.8615384615,33.2692307692,0.0,
2014-07-26 02:25:00,34.0,1406341528.5,321.666666667,537.583333333,24.8583333333,31.9333333333,0.0,
2014-07-26 02:26:00,34.0,1406341588.54,322.0,539.307692308,24.8923076923,32.1692307692,0.0,
2014-07-26 02:27:00,34.0,1406341648.67,322.0,539.416666667,24.9,32.0666666667,0.0,
2014-07-26 03:29:00,40.0,1406345369.58,307.0,528.0,22.2,39.3583333333,0.0,
2014-07-26 03:30:00,29.0,1406345429.85,307.0,527.923076923,22.1769230769,39.4076923077,0.0,
2014-07-26 03:31:00,26.0,1406345489.75,307.0,527.0,22.1166666667,39.5083333333,0.0,
2014-07-26 04:33:00,17.0,1406349209.75,302.0,520.666666667,21.2,41.7083333333,0.0,
2014-07-26 04:34:00,20.0,1406349269.85,302.923076923,520.692307692,21.1769230769,41.8846153846,0.0,
2014-07-26 04:35:00,22.0,1406349329.83,303.5,523.083333333,21.2,41.9666666667,0.0,
2014-07-26 05:37:00,24.0,1406353049.5,302.916666667,514.666666667,21.1833333333,41.8416666667,0.0,
2014-07-26 05:38:00,21.0,1406353109.62,303.0,512.769230769,21.2,41.5615384615,0.0,
2014-07-26 05:39:00,21.0,1406353169.58,302.833333333,512.083333333,21.225,41.525,0.0,
2014-07-26 06:41:00,33.0,1406356890.38,332.461538462,560.384615385,24.7769230769,39.1769230769,0.0,
2014-07-26 06:42:00,31.0,1406356950.42,333.75,562.166666667,24.8416666667,39.4166666667,0.0,
2014-07-26 06:43:00,33.0,1406357010.31,334.0,563.461538462,24.9769230769,39.2923076923,0.0,
2014-07-26 07:45:00,17.0,1406360728.31,366.307692308,603.230769231,28.4153846154,38.5307692308,0.0,
2014-07-26 07:46:00,13.0,1406360783.4,367.7,605.0,28.51,38.52,0.0,
2014-07-26 07:47:00,15.0,1406360857.0,368.9,610.7,28.77,38.19,0.0,
2014-07-26 08:49:00,36.0,1406364568.43,386.428571429,651.571428571,30.9571428571,34.1571428571,0.0,
2014-07-26 08:50:00,22.0,1406364628.42,388.0,658.25,31.2,34.725,0.0,
2014-07-26 08:51:00,20.0,1406364688.38,390.230769231,665.461538462,31.3692307692,35.3538461538,0.0,
2014-07-26 09:53:00,28.0,1406368408.83,392.333333333,655.0,31.875,34.4583333333,0.0,
2014-07-26 09:54:00,35.0,1406368468.85,393.769230769,660.538461538,31.9615384615,35.2769230769,0.0,
2014-07-26 09:55:00,33.0,1406368528.67,395.0,663.916666667,32.0416666667,35.775,0.0,
2014-07-26 10:57:00,33.0,1406372248.75,417.416666667,696.75,33.95,32.475,0.0,
2014-07-26 10:58:00,29.0,1406372309.0,419.769230769,701.538461538,34.1615384615,33.0307692308,0.0,
2014-07-26 10:59:00,24.0,1406372369.08,422.166666667,703.916666667,34.325,32.7166666667,0.0,
2014-07-26 12:01:00,38.0,1406376088.42,520.166666667,798.833333333,43.75,20.1666666667,0.0,
2014-07-26 12:02:00,36.0,1406376148.38,520.846153846,800.307692308,43.7307692308,20.6230769231,0.0,
2014-07-26 12:03:00,37.0,1406376208.42,522.0,801.166666667,43.8,20.5916666667,0.0,
2014-07-26 13:05:00,40.0,1406379929.92,584.692307692,825.0,46.5769230769,17.3692307692,0.0,
2014-07-26 13:06:00,40.0,1406379990.0,583.25,824.416666667,46.4833333333,17.65,0.0,
2014-07-26 13:07:00,40.0,1406380050.0,580.615384615,821.307692308,46.4,17.3846153846,0.0,
2014-07-26 14:09:00,45.0,1406383770.38,581.923076923,810.769230769,44.6692307692,20.4384615385,0.0,
2014-07-26 14:10:00,46.0,1406383830.5,584.166666667,813.083333333,44.8,20.8333333333,0.0,
2014-07-26 14:11:00,45.0,1406383883.0,587.111111111,816.0,44.9333333333,21.1222222222,0.0,
2014-07-26 15:13:00,45.0,1406387609.0,536.25,767.0,40.9,21.3,0.0,
2014-07-26 15:14:00,44.0,1406387666.67,535.444444444,765.555555556,40.8333333333,21.4777777778,0.0,
2014-07-26 15:15:00,44.0,1406387728.46,530.846153846,752.769230769,40.6846153846,19.9538461538,0.0,
2014-07-26 16:17:00,44.0,1406391454.89,471.222222222,723.444444444,35.9777777778,32.1222222222,0.0,
2014-07-26 16:18:00,42.0,1406391509.69,468.153846154,715.230769231,35.4923076923,31.3384615385,0.0,
2014-07-26 16:19:00,44.0,1406391569.83,464.666666667,708.166666667,34.9833333333,31.2833333333,0.0,
2014-07-26 17:21:00,40.0,1406395289.0,476.083333333,692.0,36.775,23.1166666667,1.0,
2014-07-26 17:22:00,41.0,1406395349.15,475.692307692,688.538461538,36.5461538462,23.1769230769,1.0,
2014-07-26 17:23:00,45.0,1406395409.25,474.666666667,687.5,36.3666666667,23.475,1.0,
2014-07-26 18:25:00,42.0,1406399128.67,446.166666667,656.916666667,34.65,24.05,1.0,
2014-07-26 18:26:00,41.0,1406399188.85,444.384615385,654.230769231,34.4153846154,24.1307692308,1.0,
2014-07-26 18:27:00,41.0,1406399248.92,442.666666667,652.25,34.2166666667,24.2833333333,1.0,
2014-07-26 19:29:00,31.0,1406402968.33,412.916666667,631.166666667,31.0833333333,33.7333333333,1.0,
2014-07-26 19:30:00,31.0,1406403028.38,413.769230769,636.846153846,30.7615384615,36.7923076923,1.0,
2014-07-26 19:31:00,30.0,1406403088.5,411.083333333,636.083333333,30.425,38.3333333333,1.0,
2014-07-26 20:33:00,28.0,1406406808.42,345.0,548.833333333,22.925,51.6916666667,1.0,
2014-07-26 20:34:00,30.0,1406406868.46,345.384615385,551.0,22.8076923077,52.6615384615,1.0,
2014-07-26 20:35:00,32.0,1406406928.5,345.083333333,550.833333333,22.7166666667,52.85,1.0,
2014-07-26 21:37:00,39.0,1406410650.62,354.923076923,562.615384615,25.1,43.9769230769,1.0,
2014-07-26 21:38:00,38.0,1406410710.75,354.916666667,562.416666667,25.0416666667,44.5,1.0,
2014-07-26 21:39:00,37.0,1406410768.42,354.916666667,563.0,24.95,44.975,1.0,
2014-07-26 22:42:00,39.0,1406414549.08,351.076923077,559.153846154,25.0846153846,43.5923076923,1.0,
2014-07-26 22:43:00,37.0,1406414609.33,350.5,557.083333333,25.025,43.625,1.0,
2014-07-26 22:44:00,36.0,1406414669.54,350.0,556.0,24.9769230769,43.8769230769,1.0,
2014-07-27 00:50:00,6.0,1406422230.62,325.0,535.076923077,21.1153846154,55.9230769231,1.0,
2014-07-27 00:51:00,6.0,1406422290.58,325.0,535.333333333,21.0666666667,55.875,1.0,
2014-07-27 00:52:00,5.0,1406422348.25,324.666666667,536.0,21.0166666667,55.7166666667,1.0,
2014-07-27 01:54:00,9.0,1406426068.38,319.0,528.0,20.3384615385,57.4538461538,1.0,
2014-07-27 01:55:00,10.0,1406426128.42,318.583333333,527.0,20.3166666667,57.575,1.0,
2014-07-27 01:56:00,10.0,1406426188.38,318.230769231,527.0,20.3,57.6538461538,1.0,
2014-07-27 02:58:00,14.0,1406429908.42,312.0,520.166666667,19.85,54.9416666667,1.0,
2014-07-27 02:59:00,14.0,1406429968.38,311.923076923,519.153846154,19.8,54.9307692308,1.0,
2014-07-27 03:00:00,15.0,1406430030.69,312.0,518.307692308,19.7692307692,55.2538461538,1.0,
2014-07-27 04:02:00,13.0,1406433750.5,311.833333333,517.666666667,19.4083333333,60.0416666667,1.0,
2014-07-27 04:03:00,12.0,1406433810.23,311.923076923,517.0,19.4,59.9153846154,1.0,
2014-07-27 04:04:00,12.0,1406433870.0,311.833333333,517.25,19.4,59.9166666667,1.0,
2014-07-27 05:06:00,12.0,1406437588.92,310.5,518.0,19.4916666667,59.3583333333,1.0,
2014-07-27 05:07:00,13.0,1406437648.69,310.0,517.538461538,19.4615384615,59.4307692308,1.0,
2014-07-27 05:08:00,14.0,1406437710.69,310.153846154,516.230769231,19.4461538462,59.6384615385,1.0,
2014-07-27 06:10:00,21.0,1406441429.85,312.923076923,526.0,19.6153846154,61.9076923077,1.0,
