year	month	day	hour	min	sec	close hour	min	sec	open hour	min	sec	camb	css	flux
2014	7	18	17	20	25.278	16	39	3	16	38	33	41.183	42.369	0.01651
2014	7	18	18	24	4.878	17	42	45	17	42	15	49.626	37.207	-0.17285
2014	7	18	19	27	32.778	18	46	18	18	45	48	26.638	46.415	0.27526
2014	7	18	20	31	6.978	19	49	44	19	49	14	34.02	18.391	-0.21753
2014	7	18	21	34	51.978	20	53	25	20	52	55	30.356	30.103	-0.0035218
2014	7	18	22	38	39.678	21	57	12	21	56	41	15.35	5.192	-0.14138
2014	7	18	23	42	29.178	23	1	1	23	0	31	1.8739	0.76232	0
2014	7	19	0	46	12.378	0	4	50	0	4	20	1.5232	0.78261	0
2014	7	19	1	50	4.578	1	8	34	1	8	4	0.55379	0.71288	0
2014	7	19	2	54	6.678	2	12	29	2	11	59	15.646	16.935	0.017943
2014	7	19	3	58	10.578	3	16	31	3	16	1	11.372	11.657	0.0039605
2014	7	19	5	2	9.978	4	20	34	4	20	3	15.643	11.095	-0.063301
2014	7	19	6	6	9.378	5	24	34	5	24	3	16.496	13.611	-0.040152
2014	7	19	7	10	8.778	6	28	34	6	28	4	21.491	16.247	-0.072985
2014	7	19	8	13	58.278	7	32	31	7	32	1	21.454	22.667	0.016894
2014	7	19	9	17	46.878	8	36	22	8	35	51	0.8529	1.779	0
2014	7	19	10	21	42.678	9	40	5	9	39	35	1.1804	2.0042	0
2014	7	19	11	25	54.678	10	44	12	10	43	41	138.71	17.495	-1.6871
2014	7	19	12	30	7.578	11	48	25	11	47	55	23.742	45.986	0.3096
2014	7	19	13	34	22.278	12	52	38	12	52	7	64.69	40.778	-0.33283
2014	7	19	14	38	37.878	13	56	53	13	56	22	82.562	53.377	-0.40621
2014	7	19	15	42	54.378	15	1	8	15	0	38	39.75	47.411	0.10663
2014	7	19	16	47	9.978	16	5	25	16	4	54	46.784	53.955	0.099801
2014	7	19	17	51	22.878	17	9	38	17	9	7	76.257	51.061	-0.35068
2014	7	19	18	55	32.178	18	13	52	18	13	22	65.339	42.931	-0.31188
2014	7	19	19	59	38.778	19	17	59	19	17	29	52.532	36.176	-0.22765
2014	7	19	21	3	46.278	20	22	4	20	21	34	28.017	31.483	0.04824
2014	7	19	22	7	57.378	21	26	15	21	25	45	18.575	26.134	0.10521
2014	7	19	23	12	7.578	22	30	26	22	29	56	17.26	27.974	0.14912
2014	7	20	0	16	16.878	23	34	38	23	34	7	30.814	25.924	-0.068062
2014	7	20	1	20	17.178	0	38	43	0	38	12	45.807	32.948	-0.17897
2014	7	20	2	24	16.578	1	42	43	1	42	12	43.941	26.857	-0.23779
2014	7	20	3	28	14.178	2	46	41	2	46	11	26.136	2.9674	-0.32247
2014	7	20	4	32	12.678	3	50	40	3	50	9	3.1248	2.9985	0
2014	7	20	5	36	11.178	4	54	38	4	54	7	2.858	2.9949	0
2014	7	20	6	40	9.678	5	58	36	5	58	6	2.9023	3.0362	0
2014	7	20	7	44	4.578	7	2	34	7	2	3	2.3638	3.05	0
2014	7	20	8	48	2.178	8	6	28	8	5	57	1.375	2.8043	0
2014	7	20	9	51	58.878	9	10	21	9	9	51	24.133	33.67	0.13274
2014	7	20	10	56	7.278	10	14	25	10	13	55	26.957	30.425	0.048272
2014	7	20	12	0	20.178	11	18	36	11	18	6	48.369	55.947	0.10547
2014	7	20	13	4	35.778	12	22	50	12	22	19	61.909	42.196	-0.27437
2014	7	20	14	8	50.478	13	27	5	13	26	34	44.749	45.287	0.007496
2014	7	20	15	13	8.778	14	31	22	14	30	52	32.308	39.772	0.10388
2014	7	20	16	17	20.778	15	35	39	15	35	9	67.792	51.548	-0.22609
2014	7	20	17	21	29.178	16	39	52	16	39	21	62.29	53.166	-0.12699
2014	7	20	18	25	36.678	17	43	57	17	43	27	61.366	60.514	-0.011855
2014	7	20	19	29	42.378	18	48	4	18	47	34	4.4152	6.6538	0
2014	7	20	20	33	53.478	19	52	12	19	51	41	3.2797	6.9174	0
2014	7	20	21	38	7.278	20	56	23	20	55	53	23.875	27.43	0.049474
2014	7	20	22	42	17.478	22	0	37	22	0	6	34.425	35.751	0.01845
2014	7	20	23	46	26.778	23	4	46	23	4	15	37.173	23.192	-0.1946
2014	7	21	0	50	25.278	0	8	51	0	8	21	33.142	17.531	-0.21728
2014	7	21	1	54	23.778	1	12	49	1	12	19	30.307	21.812	-0.11824
2014	7	21	2	58	17.778	2	16	46	2	16	15	29.114	23.411	-0.079385
2014	7	21	4	2	7.278	3	20	39	3	20	8	28.755	11.414	-0.24135
2014	7	21	5	5	58.578	4	24	29	4	23	59	18.561	21.159	0.036168
2014	7	21	6	9	50.778	5	28	22	5	27	51	11.128	15.363	0.058941
2014	7	21	7	13	41.178	6	32	13	6	31	42	13.85	18.429	0.063729
2014	7	21	8	17	33.378	7	36	4	7	35	33	25.654	22.581	-0.042775
2014	7	21	9	21	31.878	8	39	59	8	39	28	36.172	23.774	-0.17257
2014	7	21	10	16	40.278	9	43	57	9	43	27	41.244	23.129	-0.25212
2014	7	21	14	36	31.535	13	55	20	13	54	49	23.533	28.706	0.072003
2014	7	21	15	40	1.235	14	58	45	14	58	15	47.055	26.614	-0.2845
2014	7	21	16	43	33.635	16	2	16	16	1	45	31.83	37.444	0.078135
2014	7	21	17	47	8.735	17	5	46	17	5	16	70.817	43.332	-0.38255
2014	7	21	18	50	49.235	18	9	27	18	8	57	40.036	40.173	0.0019085
2014	7	21	19	54	31.535	19	13	7	19	12	37	28.114	42.889	0.20565
2014	7	21	20	58	13.835	20	16	47	20	16	17	37.407	6.9174	-0.42436
2014	7	21	22	1	58.835	21	20	32	21	20	2	24.421	13.247	-0.15553
2014	7	21	23	5	42.935	22	24	17	22	23	47	20.737	17.972	-0.038487
2014	7	22	0	9	42.335	23	28	8	23	27	37	17.913	10.929	-0.097208
2014	7	22	1	13	34.535	0	32	5	0	31	34	18.399	11.304	-0.098753
2014	7	22	2	17	19.535	1	35	57	1	35	27	23.846	10.885	-0.1804
2014	7	22	3	21	5.435	2	39	36	2	39	5	30.23	22.976	-0.10097
