,Open Conc.
2014-07-28 15:24:00,60.9
2014-07-28 16:28:00,58.9
2014-07-28 17:32:00,51.5
2014-07-28 18:36:00,52.0
2014-07-28 19:40:00,43.8
2014-07-28 20:44:00,37.9
2014-07-28 21:48:00,33.9
2014-07-28 22:52:00,31.3
2014-07-28 23:56:00,27.7
2014-07-29 01:00:00,25.7
2014-07-29 02:04:00,24.3
2014-07-29 03:08:00,23.1
2014-07-29 04:12:00,22.7
2014-07-29 05:16:00,22.8
2014-07-29 06:19:00,22.1
2014-07-29 07:23:00,29.9
2014-07-29 08:27:00,43.7
2014-07-31 09:57:00,36.6
2014-07-31 11:01:00,44.7
2014-07-31 12:05:00,46.9
2014-07-31 13:08:00,55.1
2014-07-31 14:12:00,57.0
2014-07-31 15:16:00,60.4
2014-07-31 16:19:00,62.3
2014-07-31 17:23:00,61.7
2014-07-31 18:27:00,54.8
2014-07-31 19:31:00,45.7
2014-07-31 20:35:00,35.3
2014-07-31 21:39:00,29.9
2014-07-31 22:43:00,28.6
2014-08-01 00:51:00,25.5
2014-08-01 01:54:00,25.8
2014-08-01 02:58:00,25.2
2014-08-01 04:02:00,24.5
2014-08-01 05:06:00,24.5
2014-08-01 06:09:00,22.9
2014-08-01 07:13:00,28.8
2014-08-01 08:17:00,40.2
2014-08-01 09:20:00,53.5
2014-08-01 10:24:00,59.6
2014-08-01 11:28:00,64.1
2014-08-01 12:32:00,63.4
2014-08-01 13:36:00,65.3
2014-08-01 14:40:00,64.8
2014-08-01 15:44:00,67.9
2014-08-01 16:48:00,64.4
2014-08-01 17:51:00,61.3
2014-08-01 18:55:00,56.1
2014-08-01 19:59:00,45.4
2014-08-01 21:03:00,36.6
2014-08-01 22:07:00,32.9
2014-08-01 23:47:00,29.5
2014-08-02 00:15:00,28.9
2014-08-02 01:19:00,27.6
2014-08-02 02:23:00,26.3
2014-08-02 03:27:00,25.3
2014-08-02 04:31:00,25.2
2014-08-02 05:35:00,25.0
2014-08-02 06:38:00,24.6
2014-08-02 07:42:00,36.6
2014-08-02 08:46:00,51.6
2014-08-02 09:50:00,59.6
2014-08-02 10:54:00,64.2
2014-08-02 11:58:00,68.1
2014-08-02 13:02:00,69.9
2014-08-02 15:13:00,69.0
2014-08-02 16:17:00,67.1
2014-08-02 17:20:00,65.0
2014-08-02 18:24:00,60.7
2014-08-02 19:27:00,53.6
2014-08-02 20:31:00,45.7
2014-08-02 21:34:00,39.9
2014-08-02 22:38:00,36.8
2014-08-02 23:11:00,33.9
2014-08-03 00:46:00,28.5
2014-08-03 01:50:00,27.6
2014-08-03 02:53:00,26.9
2014-08-03 03:57:00,25.8
2014-08-03 05:01:00,24.3
2014-08-03 06:05:00,24.8
2014-08-03 07:09:00,31.4
2014-08-03 08:12:00,48.6
2014-08-03 09:16:00,56.6
2014-08-03 10:20:00,61.4
2014-08-03 11:24:00,65.2
2014-08-03 12:28:00,70.6
2014-08-03 13:32:00,70.7
2014-08-03 14:36:00,70.7
2014-08-03 15:40:00,70.0
2014-08-03 16:44:00,70.6
2014-08-03 17:48:00,65.7
2014-08-03 18:52:00,57.0
2014-08-03 19:56:00,47.6
2014-08-03 21:00:00,38.8
2014-08-03 22:04:00,34.1
2014-08-03 23:08:00,31.5
2014-08-03 23:42:00,31.8
2014-08-04 00:12:00,31.0
2014-08-04 01:16:00,29.5
2014-08-04 02:20:00,27.9
2014-08-04 03:24:00,26.8
2014-08-04 04:28:00,25.0
2014-08-04 05:32:00,24.2
2014-08-04 06:35:00,24.2
2014-08-04 07:39:00,36.2
2014-08-04 08:43:00,45.6
2014-08-04 09:47:00,56.4
2014-08-04 10:51:00,60.9
2014-08-04 11:55:00,63.3
2014-08-04 12:59:00,73.4
2014-08-04 14:03:00,64.9
2014-08-04 15:07:00,61.7
2014-08-04 16:11:00,61.4
2014-08-04 17:15:00,53.3
2014-08-04 18:19:00,49.5
2014-08-04 19:24:00,45.6
2014-08-04 20:28:00,36.4
2014-08-04 21:32:00,36.5
2014-08-04 22:36:00,32.8
2014-08-05 00:44:00,28.4
2014-08-05 01:48:00,26.2
2014-08-05 02:52:00,24.7
2014-08-05 03:56:00,25.2
2014-08-05 04:59:00,25.0
2014-08-05 14:27:00,52.1
2014-08-05 15:31:00,42.7
2014-08-05 16:34:00,41.6
2014-08-05 17:38:00,45.8
2014-08-05 18:41:00,42.6
2014-08-05 19:39:00,35.0
2014-08-05 20:49:00,25.9
2014-08-05 21:53:00,26.2
2014-08-05 22:57:00,23.9
2014-08-05 23:40:00,22.7
2014-08-06 00:01:00,22.7
2014-08-06 01:05:00,20.9
2014-08-06 02:09:00,20.6
2014-08-06 02:51:00,21.0
2014-08-06 04:16:00,19.9
2014-08-06 05:20:00,19.9
2014-08-06 06:24:00,19.1
2014-08-06 07:28:00,29.6
2014-08-06 08:32:00,43.6
2014-08-06 09:35:00,52.3
2014-08-06 10:39:00,57.1
2014-08-06 11:43:00,62.3
2014-08-06 17:04:00,44.1
2014-08-06 18:08:00,52.4
2014-08-06 19:12:00,40.9
2014-08-06 20:16:00,36.7
2014-08-06 21:20:00,34.2
2014-08-06 22:24:00,31.7
2014-08-07 00:33:00,26.6
2014-08-07 01:15:00,23.9
2014-08-07 02:40:00,23.1
2014-08-07 03:44:00,22.8
2014-08-07 04:48:00,22.9
2014-08-07 05:32:00,22.1
2014-08-07 06:56:00,25.5
2014-08-07 07:59:00,27.4
2014-08-07 09:03:00,44.2
2014-08-07 10:07:00,48.4
2014-08-07 11:11:00,49.1
2014-08-07 12:15:00,49.7
2014-08-07 13:20:00,31.3
2014-08-07 14:24:00,49.2
2014-08-07 15:28:00,53.2
2014-08-07 16:32:00,57.2
2014-08-07 17:36:00,57.3
2014-08-07 18:40:00,45.6
2014-08-07 19:44:00,41.8
2014-08-07 20:48:00,32.2
2014-08-07 21:53:00,28.5
2014-08-07 22:57:00,24.3
2014-08-07 23:29:00,23.4
2014-08-08 00:01:00,22.5
2014-08-08 01:05:00,21.2
2014-08-08 02:09:00,19.9
2014-08-08 03:13:00,19.8
2014-08-08 04:16:00,19.5
2014-08-08 05:20:00,19.4
2014-08-08 06:24:00,19.3
2014-08-08 07:28:00,26.5
2014-08-08 08:32:00,37.2
2014-08-08 09:36:00,49.8
2014-08-08 10:40:00,54.8
2014-08-08 11:44:00,58.3
2014-08-08 19:24:00,45.2
2014-08-08 20:28:00,36.3
2014-08-08 21:32:00,29.9
2014-08-08 22:36:00,27.7
2014-08-09 00:44:00,25.6
2014-08-09 01:48:00,23.9
2014-08-09 02:53:00,23.3
2014-08-09 03:57:00,22.2
2014-08-09 05:01:00,20.4
2014-08-09 06:05:00,20.4
2014-08-09 07:09:00,24.7
2014-08-09 08:13:00,37.5
2014-08-09 09:18:00,50.9
2014-08-09 10:22:00,56.8
2014-08-09 11:26:00,62.5
2014-08-09 12:30:00,67.9
2014-08-09 15:46:00,59.7
2014-08-09 16:47:00,36.8
2014-08-09 17:52:00,41.8
2014-08-09 18:56:00,44.2
2014-08-09 20:00:00,33.6
2014-08-09 21:05:00,30.4
2014-08-09 22:09:00,26.8
2014-08-09 23:40:00,23.8
2014-08-10 00:18:00,23.5
2014-08-10 01:22:00,23.5
2014-08-10 02:26:00,23.6
2014-08-10 03:31:00,21.7
2014-08-10 04:35:00,21.0
2014-08-10 05:39:00,19.8
2014-08-10 06:43:00,20.9
2014-08-10 07:47:00,30.6
2014-08-10 08:52:00,42.0
2014-08-10 09:56:00,49.7
2014-08-10 11:00:00,55.3
2014-08-10 12:05:00,60.8
2014-08-10 13:09:00,64.6
2014-08-10 14:14:00,59.6
2014-08-10 15:18:00,54.7
2014-08-10 16:23:00,55.0
2014-08-10 17:27:00,53.0
2014-08-10 18:32:00,56.3
2014-08-10 19:36:00,43.0
2014-08-10 20:41:00,29.8
2014-08-10 21:45:00,26.8
2014-08-10 22:50:00,25.8
2014-08-10 23:13:00,25.0
2014-08-10 23:55:00,23.5
2014-08-11 00:59:00,21.9
2014-08-11 02:03:00,20.2
2014-08-11 03:07:00,19.8
2014-08-11 04:12:00,18.3
2014-08-11 05:16:00,18.2
2014-08-11 06:21:00,18.0
2014-08-11 07:25:00,24.9
2014-08-11 08:29:00,37.9
2014-08-11 09:33:00,48.1
2014-08-11 10:38:00,54.0
2014-08-11 11:43:00,58.7
2014-08-11 12:47:00,64.2
2014-08-11 13:52:00,67.8
2014-08-11 14:57:00,69.1
2014-08-11 16:02:00,68.7
2014-08-11 17:06:00,68.4
2014-08-11 18:11:00,64.4
2014-08-11 19:16:00,53.1
2014-08-11 20:20:00,38.5
2014-08-11 21:25:00,30.5
2014-08-11 22:30:00,28.6
