year,month,day,hour,min,sec,close_hour,cmin,csec,open_hour,omin,osec,camb,close_month,close_day
2014,7,21,13,31,55,13,53,41,13,53,10,1,7,21
2014,7,21,14,34,37,14,56,26,14,55,56,1,7,21
2014,7,21,15,37,21,15,59,8,15,58,38,1,7,21
2014,7,21,16,40,3,17,1,49,17,1,19,1,7,21
2014,7,21,17,42,43,18,4,29,18,3,58,1,7,21
2014,7,21,18,45,23,19,7,8,19,6,38,1,7,21
2014,7,21,19,48,3,20,9,47,20,9,16,1,7,21
2014,7,21,20,50,41,21,12,25,21,11,54,1,7,21
2014,7,21,21,53,19,22,15,2,22,14,32,1,7,21
2014,7,21,22,55,57,23,17,44,23,17,14,1,7,21
2014,7,21,23,58,44,0,20,27,0,19,57,1,7,22
2014,7,22,1,1,19,1,23,2,1,22,32,1,7,22
2014,7,22,2,3,54,2,25,37,2,25,7,1,7,22
2014,7,22,3,6,28,3,28,12,3,27,42,1,7,22
2014,7,22,4,9,2,4,30,47,4,30,16,1,7,22
2014,7,22,5,11,37,5,33,21,5,32,51,1,7,22
2014,7,22,6,14,12,6,36,1,6,35,30,1,7,22
2014,7,22,7,16,59,7,38,48,7,38,18,1,7,22
2014,7,22,8,19,47,8,41,35,8,41,5,1,7,22
2014,7,22,9,22,34,9,44,23,9,43,53,1,7,22
2014,7,22,10,25,27,10,47,20,10,46,50,1,7,22
2014,7,22,11,28,28,11,50,21,11,49,50,1,7,22
2014,7,22,13,22,44,13,44,25,13,43,54,1,7,22
2014,7,22,14,25,17,14,47,3,14,46,32,1,7,22
2014,7,22,15,27,55,15,49,40,15,49,10,1,7,22
2014,7,22,16,30,33,16,52,19,16,51,49,1,7,22
2014,7,22,17,33,12,17,54,58,17,54,28,1,7,22
2014,7,22,18,35,50,18,57,36,18,57,5,1,7,22
2014,7,22,19,38,30,20,0,15,19,59,45,1,7,22
2014,7,22,20,41,7,21,2,51,21,2,20,1,7,22
2014,7,22,21,43,42,22,5,25,22,4,55,1,7,22
2014,7,22,22,46,16,23,8,3,23,7,33,1,7,22
2014,7,22,23,49,2,0,10,46,0,10,16,1,7,23
2014,7,23,0,51,38,1,13,20,1,12,50,1,7,23
2014,7,23,1,54,12,2,15,54,2,15,24,1,7,23
2014,7,23,2,56,46,3,18,28,3,17,58,1,7,23
2014,7,23,3,59,21,4,21,3,4,20,32,1,7,23
2014,7,23,5,1,53,5,23,40,5,23,10,1,7,23
2014,7,23,6,4,39,6,26,26,6,25,56,1,7,23
2014,7,23,7,7,24,7,29,13,7,28,42,1,7,23
2014,7,23,8,10,11,8,32,0,8,31,30,1,7,23
2014,7,23,9,12,59,9,34,48,9,34,18,1,7,23
2014,7,23,10,15,50,10,37,43,10,37,13,1,7,23
2014,7,23,11,18,51,11,40,44,11,40,14,1,7,23
2014,7,23,12,21,52,12,43,45,12,43,15,1,7,23
2014,7,23,13,24,53,13,46,45,13,46,15,1,7,23
2014,7,23,14,27,52,14,49,45,14,49,14,1,7,23
2014,7,23,15,30,51,15,52,44,15,52,14,1,7,23
2014,7,23,16,33,52,16,55,45,16,55,15,1,7,23
2014,7,23,17,36,52,17,58,47,17,58,16,1,7,23
2014,7,23,18,39,52,19,1,43,19,1,13,1,7,23
2014,7,23,19,42,48,20,4,39,20,4,9,1,7,23
2014,7,23,20,45,45,21,7,36,21,7,5,1,7,23
2014,7,23,21,48,41,22,10,31,22,10,1,1,7,23
2014,7,23,22,51,38,23,13,28,23,12,57,1,7,23
2014,7,23,23,54,34,0,16,22,0,15,52,1,7,24
2014,7,24,0,57,21,1,19,8,1,18,38,1,7,24
2014,7,24,2,0,8,2,21,53,2,21,23,1,7,24
2014,7,24,3,2,51,3,24,37,3,24,7,1,7,24
2014,7,24,4,5,34,4,27,21,4,26,50,1,7,24
2014,7,24,5,8,17,5,30,5,5,29,35,1,7,24
2014,7,24,6,11,3,6,32,51,6,32,20,1,7,24
2014,7,24,7,13,50,7,35,39,7,35,9,1,7,24
2014,7,24,8,16,39,8,38,28,8,37,58,1,7,24
2014,7,24,9,19,28,9,41,18,9,40,48,1,7,24
2014,7,24,10,22,23,10,44,16,10,43,46,1,7,24
2014,7,24,11,25,24,11,47,18,11,46,47,1,7,24
2014,7,24,12,28,26,12,50,19,12,49,49,1,7,24
2014,7,24,13,31,28,13,53,21,13,52,50,1,7,24
2014,7,24,14,34,30,14,56,23,14,55,53,1,7,24
2014,7,24,15,37,30,15,59,23,15,58,53,1,7,24
2014,7,24,16,40,32,17,2,25,17,1,55,1,7,24
2014,7,24,17,43,34,18,5,27,18,4,57,1,7,24
2014,7,24,18,46,37,19,8,29,19,7,59,1,7,24
2014,7,24,19,49,39,20,11,31,20,11,1,1,7,24
2014,7,24,20,52,47,21,14,43,21,14,13,1,7,24
2014,7,24,21,55,55,22,17,47,22,17,17,1,7,24
2014,7,24,22,58,58,23,20,50,23,20,20,1,7,24
2014,7,25,0,2,1,0,23,50,0,23,20,1,7,25
2014,7,25,1,4,54,1,26,43,1,26,13,1,7,25
2014,7,25,2,7,46,2,29,37,2,29,6,1,7,25
2014,7,25,3,10,40,3,32,30,3,32,0,1,7,25
2014,7,25,4,13,33,4,35,24,4,34,54,1,7,25
2014,7,25,5,16,29,5,38,19,5,37,49,1,7,25
2014,7,25,6,19,21,6,41,11,6,40,41,1,7,25
2014,7,25,7,22,13,7,44,3,7,43,33,1,7,25
2014,7,25,8,25,5,8,46,56,8,46,25,1,7,25
2014,7,25,9,27,59,9,49,50,9,49,20,1,7,25
