year,month,day,hour,min,sec,close_hour,cmin,csec,open_hour,omin,osec,camb,close_month,close_day
2014,7,18,16,16,30,16,38,6,16,37,36,1,7,18
2014,7,18,17,18,42,17,40,21,17,39,51,1,7,18
2014,7,18,18,20,56,18,42,33,18,42,3,1,7,18
2014,7,18,19,23,8,19,44,44,19,44,14,1,7,18
2014,7,18,20,25,19,20,46,55,20,46,25,1,7,18
2014,7,18,21,27,30,21,49,6,21,48,36,1,7,18
2014,7,18,22,29,42,22,51,19,22,50,49,1,7,18
2014,7,18,23,31,55,23,53,31,23,53,1,1,7,18
2014,7,19,0,34,1,0,55,34,0,55,4,1,7,19
2014,7,19,1,36,4,1,57,45,1,57,15,1,7,19
2014,7,19,2,38,30,3,0,11,2,59,41,1,7,19
2014,7,19,3,40,55,4,2,36,4,2,6,1,7,19
2014,7,19,4,43,21,5,5,1,5,4,31,1,7,19
2014,7,19,5,45,46,6,7,25,6,6,55,1,7,19
2014,7,19,6,48,9,7,9,48,7,9,17,1,7,19
2014,7,19,7,50,32,8,12,11,8,11,41,1,7,19
2014,7,19,8,52,57,9,14,36,9,14,6,1,7,19
2014,7,19,9,55,23,10,17,6,10,16,36,1,7,19
2014,7,19,10,58,2,11,19,47,11,19,17,1,7,19
2014,7,19,12,0,42,12,22,27,12,21,56,1,7,19
2014,7,19,13,3,25,13,25,13,13,24,43,1,7,19
2014,7,19,14,6,11,14,27,58,14,27,28,1,7,19
2014,7,19,15,8,57,15,30,44,15,30,14,1,7,19
2014,7,19,16,11,40,16,33,26,16,32,56,1,7,19
2014,7,19,17,14,22,17,36,7,17,35,36,1,7,19
2014,7,19,18,16,59,18,38,44,18,38,14,1,7,19
2014,7,19,19,19,36,19,41,22,19,40,51,1,7,19
2014,7,19,20,22,13,20,43,59,20,43,28,1,7,19
2014,7,19,21,24,51,21,46,35,21,46,5,1,7,19
2014,7,19,22,27,25,22,49,9,22,48,39,1,7,19
2014,7,19,23,30,0,23,51,45,23,51,14,1,7,19
2014,7,20,0,32,29,0,54,10,0,53,40,1,7,20
2014,7,20,1,34,53,1,56,34,1,56,3,1,7,20
2014,7,20,2,37,18,2,58,59,2,58,29,1,7,20
2014,7,20,3,39,44,4,1,25,4,0,55,1,7,20
2014,7,20,4,42,9,5,3,50,5,3,20,1,7,20
2014,7,20,5,44,36,6,6,16,6,5,46,1,7,20
2014,7,20,6,47,2,7,8,42,7,8,12,1,7,20
2014,7,20,7,49,29,8,11,10,8,10,39,1,7,20
2014,7,20,8,51,57,9,13,38,9,13,8,1,7,20
2014,7,20,9,54,29,10,16,12,10,15,42,1,7,20
2014,7,20,10,57,11,11,18,56,11,18,25,1,7,20
2014,7,20,11,59,52,12,21,37,12,21,7,1,7,20
2014,7,20,13,2,38,13,24,26,13,23,56,1,7,20
2014,7,20,14,5,28,14,27,17,14,26,46,1,7,20
2014,7,20,15,8,18,15,30,5,15,29,35,1,7,20
2014,7,20,16,11,3,16,32,50,16,32,20,1,7,20
2014,7,20,17,13,44,17,35,30,17,35,0,1,7,20
2014,7,20,18,16,24,18,38,9,18,37,39,1,7,20
2014,7,20,19,19,2,19,40,48,19,40,17,1,7,20
2014,7,20,20,21,40,20,43,26,20,42,56,1,7,20
2014,7,20,21,24,18,21,46,4,21,45,34,1,7,20
2014,7,20,22,26,57,22,48,43,22,48,13,1,7,20
2014,7,20,23,29,36,23,51,21,23,50,51,1,7,20
2014,7,21,0,32,8,0,53,50,0,53,19,1,7,21
2014,7,21,1,34,35,1,56,17,1,55,47,1,7,21
2014,7,21,2,37,2,2,58,43,2,58,13,1,7,21
2014,7,21,3,39,28,4,1,9,4,0,39,1,7,21
2014,7,21,4,41,55,5,3,36,5,3,5,1,7,21
2014,7,21,5,44,21,6,6,2,6,5,32,1,7,21
