date,O3_fit,O3_ppb
2014-07-21 14:00:00,54.4398196733,47.055
2014-07-21 17:00:00,63.5722295219,70.817
2014-07-21 18:00:00,54.7813193955,40.036
2014-07-21 19:00:00,54.2200559613,28.114
2014-07-21 20:00:00,45.8850540137,37.407
2014-07-21 21:00:00,24.0959423927,24.421
2014-07-21 22:00:00,21.3802645797,20.737
2014-07-22 00:00:00,14.0335789827,18.399
2014-07-22 01:00:00,16.3807500664,23.846
2014-07-22 02:00:00,17.1829248549,30.23
2014-07-22 03:00:00,12.333328919,19.113
2014-07-22 04:00:00,15.4796971755,11.892
2014-07-22 05:00:00,18.4920199733,15.849
2014-07-22 06:00:00,22.9186296178,11.502
2014-07-22 07:00:00,32.3184040176,30.335
2014-07-22 09:00:00,50.490242636,37.92
2014-07-22 10:00:00,56.6619824643,49.443
2014-07-22 11:00:00,54.2682715663,61.38
2014-07-22 14:00:00,68.9848726609,66.704
2014-07-22 15:00:00,69.6161779054,73.781
2014-07-22 19:00:00,63.1033219419,71.833
2014-07-22 20:00:00,40.6312146788,31.863
2014-07-22 21:00:00,28.4857867309,16.976
2014-07-22 22:00:00,25.8219354349,18.745
2014-07-22 23:00:00,25.0385922214,17.913
2014-07-23 00:00:00,24.9913364112,17.417
2014-07-23 01:00:00,24.7946278409,23.425
2014-07-23 02:00:00,27.0697734235,27.487
2014-07-23 03:00:00,21.3483688186,30.111
2014-07-23 04:00:00,20.2581593653,28.492
2014-07-23 05:00:00,22.1401776655,18.726
2014-07-23 06:00:00,18.434444683,14.122
2014-07-23 07:00:00,36.7633426877,17.165
2014-07-23 08:00:00,35.6942142075,33.384
2014-07-23 09:00:00,35.6175284585,47.058
2014-07-23 11:00:00,53.2977636557,49.733
2014-07-23 12:00:00,70.3291575692,67.391
2014-07-23 13:00:00,77.8688848394,82.948
2014-07-23 14:00:00,58.5968177897,76.146
2014-07-23 15:00:00,55.6485669963,76.0
2014-07-23 16:00:00,56.0875724733,60.976
2014-07-23 17:00:00,40.3876452409,51.288
2014-07-23 18:00:00,35.6409661331,42.619
2014-07-23 19:00:00,39.8934600419,44.987
2014-07-23 20:00:00,35.3224960641,45.301
2014-07-23 21:00:00,31.4079161787,34.732
2014-07-23 22:00:00,22.3309421885,29.359
2014-07-23 23:00:00,20.6444198811,20.007
2014-07-24 00:00:00,15.5563502693,14.604
2014-07-24 01:00:00,19.8948466701,11.77
2014-07-24 03:00:00,14.0170851146,13.851
2014-07-24 04:00:00,24.8060147728,19.341
2014-07-24 05:00:00,18.2618819223,20.896
2014-07-24 06:00:00,15.1085080373,19.704
2014-07-24 07:00:00,25.5099550248,33.954
2014-07-24 08:00:00,46.7290782164,21.7
2014-07-24 09:00:00,61.4451759805,31.244
2014-07-24 10:00:00,64.9763143836,49.9
2014-07-24 11:00:00,62.0067422335,58.67
2014-07-24 12:00:00,60.3838322693,59.448
2014-07-24 13:00:00,70.9295430636,36.618
2014-07-24 14:00:00,54.6597784228,28.689
2014-07-24 15:00:00,63.528942431,53.534
2014-07-24 16:00:00,61.2695092912,62.773
2014-07-24 17:00:00,61.8299526434,58.659
2014-07-24 19:00:00,34.651976691,51.098
2014-07-24 20:00:00,34.1071272159,46.736
2014-07-24 21:00:00,30.3965535516,26.262
2014-07-24 22:00:00,21.6224535047,28.431
2014-07-25 00:00:00,8.12318374926,19.922
2014-07-25 01:00:00,30.6136382412,23.261
2014-07-25 02:00:00,15.7307021227,23.238
2014-07-25 03:00:00,21.8730896441,23.817
2014-07-25 04:00:00,20.0626603694,20.746
2014-07-25 05:00:00,22.0032468555,11.246
2014-07-25 06:00:00,22.8975213227,14.993
2014-07-25 07:00:00,17.3547234449,31.133
2014-07-25 08:00:00,49.3410965684,23.45
2014-07-25 09:00:00,58.7707960896,33.332
