,Flux (ug/m2/s),Open Conc,Close Conc
2014-07-26 22:27:00,-0.0224362164536,32.1,30.9
2014-07-27 00:35:00,-0.0953539199279,25.5,20.4
2014-07-27 01:39:00,-0.0542208564296,21.5,18.6
2014-07-27 02:43:00,-0.0299149552715,20.8,19.2
2014-07-27 03:47:00,-0.056090541134,18.8,15.8
2014-07-27 04:51:00,-0.0243059011581,17.8,16.5
2014-07-27 05:55:00,-0.028045270567,16.8,15.3
2014-07-27 06:59:00,0.0972236046323,20.0,25.2
2014-07-27 08:03:00,0.0523511717251,32.0,34.8
2014-07-27 09:06:00,-0.0373936940894,29.8,27.8
2014-07-27 10:10:00,0.0205665317491,28.6,29.7
2014-07-27 11:14:00,0.0990932893368,36.9,42.2
2014-07-27 12:18:00,0.0467421176117,44.0,46.5
2014-07-27 13:22:00,0.00186968470447,48.0,48.1
2014-07-27 14:26:00,-0.0149574776357,50.4,49.6
2014-07-27 15:30:00,-0.00373936940894,48.8,48.6
2014-07-27 16:34:00,0.0542208564296,47.2,50.1
2014-07-27 17:38:00,-0.031784639976,50.6,48.9
2014-07-27 18:42:00,-0.059829910543,46.5,43.3
2014-07-27 19:46:00,-0.0654389646564,41.5,38.0
2014-07-27 20:50:00,-0.0355240093849,36.0,34.1
2014-07-27 21:55:00,-0.0392633787938,30.6,28.5
2014-07-27 22:59:00,0.0130877929313,27.5,28.2
2014-07-27 23:31:00,-0.0392633787938,29.2,27.1
2014-07-28 00:03:00,0.0056090541134,26.6,26.9
2014-07-28 01:07:00,0.0056090541134,24.1,24.4
2014-07-28 02:11:00,0.0205665317491,20.4,21.5
2014-07-28 03:15:00,0.0056090541134,19.4,19.7
2014-07-28 04:19:00,0.028045270567,17.3,18.8
2014-07-28 05:22:00,0.0336543246804,17.7,19.5
2014-07-28 06:26:00,0.0299149552715,19.7,21.3
2014-07-28 07:30:00,0.0860054964055,24.9,29.5
2014-07-28 08:34:00,0.0579602258385,37.5,40.6
2014-07-28 09:38:00,0.0523511717251,42.3,45.1
2014-07-28 10:42:00,0.0654389646564,46.4,49.9
2014-07-28 11:46:00,0.084135811701,51.1,55.6
2014-07-28 12:50:00,0.0616995952474,56.6,59.9
2014-07-28 15:24:00,-0.084135811701,55.3,50.8
2014-07-28 16:28:00,-0.0130877929313,49.7,49.0
2014-07-28 17:32:00,-0.0542208564296,46.4,43.5
2014-07-28 18:36:00,-0.00747873881787,43.3,42.9
2014-07-28 19:40:00,-0.0616995952474,40.2,36.9
2014-07-28 20:44:00,-0.0392633787938,33.2,31.1
2014-07-28 21:48:00,-0.0392633787938,31.4,29.3
2014-07-28 22:52:00,-0.0467421176117,27.8,25.3
2014-07-28 23:56:00,-0.00934842352234,23.7,23.2
2014-07-29 01:00:00,-0.00934842352234,23.2,22.7
2014-07-29 02:04:00,0.0186968470447,19.9,20.9
2014-07-29 03:08:00,0.0168271623402,19.7,20.6
2014-07-29 04:12:00,0.031784639976,18.3,20.0
2014-07-29 05:16:00,0.0467421176117,18.7,21.2
2014-07-29 06:19:00,0.0299149552715,18.8,20.4
2014-07-29 07:23:00,0.115920451677,26.5,32.7
2014-07-29 08:27:00,0.0860054964055,38.7,43.3
2014-07-31 09:57:00,-0.059829910543,37.5,34.3
2014-07-31 11:01:00,0.0542208564296,38.7,41.6
2014-07-31 12:05:00,0.0486118023162,42.7,45.3
2014-07-31 13:08:00,-0.0,47.8,47.8
2014-07-31 14:12:00,0.00186968470447,49.3,49.4
2014-07-31 15:16:00,0.0149574776357,51.4,52.2
2014-07-31 16:19:00,-0.00747873881787,53.0,52.6
2014-07-31 17:23:00,-0.0149574776357,51.6,50.8
2014-07-31 18:27:00,-0.0990932893368,48.5,43.2
2014-07-31 19:31:00,-0.0542208564296,41.0,38.1
2014-07-31 20:35:00,-0.0897448658145,35.0,30.2
2014-07-31 21:39:00,-0.0673086493608,27.3,23.7
2014-07-31 22:43:00,-0.0448724329072,25.0,22.6
2014-08-01 00:51:00,-0.0448724329072,19.5,17.1
2014-08-01 01:54:00,-0.0186968470447,17.6,16.6
2014-08-01 02:58:00,-0.0373936940894,17.0,15.0
2014-08-01 04:02:00,-0.0186968470447,16.3,15.3
